ANA_HAT_NO;ALT_HAT_NO;TARIH;SAAT;BINIS_SAYISI
1;0;2020-01-01;0;29
1;0;2020-01-01;6;13
1;0;2020-01-01;7;32
1;0;2020-01-01;8;71
1;0;2020-01-01;9;73
1;0;2020-01-01;10;66
1;0;2020-01-01;11;87
1;0;2020-01-01;12;210
1;0;2020-01-01;13;165
1;0;2020-01-01;14;189
1;0;2020-01-01;15;177
1;0;2020-01-01;16;170
1;0;2020-01-01;17;220
1;0;2020-01-01;18;215
1;0;2020-01-01;19;65
1;0;2020-01-01;20;187
1;0;2020-01-01;21;124
1;0;2020-01-01;22;94
1;0;2020-01-01;23;70
1;0;2020-01-02;0;6
1;0;2020-01-02;6;20
1;0;2020-01-02;7;209
1;0;2020-01-02;8;506
1;0;2020-01-02;9;204
1;0;2020-01-02;10;298
1;0;2020-01-02;11;342
1;0;2020-01-02;12;449
1;0;2020-01-02;13;376
1;0;2020-01-02;14;555
1;0;2020-01-02;15;486
1;0;2020-01-02;16;549
1;0;2020-01-02;17;571
1;0;2020-01-02;18;403
1;0;2020-01-02;19;111
1;0;2020-01-02;20;327
1;0;2020-01-02;21;142
1;0;2020-01-02;22;125
1;0;2020-01-02;23;58
1;0;2020-01-03;0;9
1;0;2020-01-03;6;29
1;0;2020-01-03;7;255
1;0;2020-01-03;8;352
1;0;2020-01-03;9;134
1;0;2020-01-03;10;292
1;0;2020-01-03;11;282
1;0;2020-01-03;12;406
1;0;2020-01-03;13;376
1;0;2020-01-03;14;387
1;0;2020-01-03;15;514
1;0;2020-01-03;16;676
1;0;2020-01-03;17;589
1;0;2020-01-03;18;414
1;0;2020-01-03;19;317
1;0;2020-01-03;20;295
1;0;2020-01-03;21;128
1;0;2020-01-03;22;151
1;0;2020-01-03;23;70
1;0;2020-01-04;0;28
1;0;2020-01-04;6;16
1;0;2020-01-04;7;60
1;0;2020-01-04;8;222
1;0;2020-01-04;9;122
1;0;2020-01-04;10;133
1;0;2020-01-04;11;254
1;0;2020-01-04;12;322
1;0;2020-01-04;13;287
1;0;2020-01-04;14;316
1;0;2020-01-04;15;141
1;0;2020-01-04;16;145
1;0;2020-01-04;17;203
1;0;2020-01-04;18;281
1;0;2020-01-04;19;67
1;0;2020-01-04;20;162
1;0;2020-01-04;21;112
1;0;2020-01-04;22;147
1;0;2020-01-04;23;96
1;0;2020-01-05;0;16
1;0;2020-01-05;7;40
1;0;2020-01-05;8;130
1;0;2020-01-05;9;197
1;0;2020-01-05;10;102
1;0;2020-01-05;11;210
1;0;2020-01-05;12;203
1;0;2020-01-05;13;388
1;0;2020-01-05;14;411
1;0;2020-01-05;15;165
1;0;2020-01-05;16;263
1;0;2020-01-05;17;206
1;0;2020-01-05;18;128
1;0;2020-01-05;19;230
1;0;2020-01-05;20;62
1;0;2020-01-05;21;54
1;0;2020-01-05;23;59
1;0;2020-01-06;0;6
1;0;2020-01-06;6;43
1;0;2020-01-06;7;441
1;0;2020-01-06;8;611
1;0;2020-01-06;9;134
1;0;2020-01-06;10;255
1;0;2020-01-06;11;443
1;0;2020-01-06;12;255
1;0;2020-01-06;13;5
1;0;2020-01-06;14;232
1;0;2020-01-06;15;429
1;0;2020-01-06;16;273
1;0;2020-01-06;17;48
1;0;2020-01-06;18;74
1;0;2020-01-06;19;8
1;0;2020-01-07;6;43
1;0;2020-01-07;7;395
1;0;2020-01-07;8;327
1;0;2020-01-07;9;234
1;0;2020-01-07;10;267
1;0;2020-01-07;11;363
1;0;2020-01-07;12;357
1;0;2020-01-07;13;319
1;0;2020-01-07;14;456
1;0;2020-01-07;15;593
1;0;2020-01-07;16;424
1;0;2020-01-07;17;414
1;0;2020-01-07;18;188
1;0;2020-01-07;19;50
1;0;2020-01-07;20;163
1;0;2020-01-07;21;120
1;0;2020-01-07;22;96
1;0;2020-01-07;23;65
1;0;2020-01-08;0;4
1;0;2020-01-08;6;36
1;0;2020-01-08;7;418
1;0;2020-01-08;8;498
1;0;2020-01-08;9;437
1;0;2020-01-08;10;297
1;0;2020-01-08;11;620
1;0;2020-01-08;12;522
1;0;2020-01-08;13;372
1;0;2020-01-08;14;384
1;0;2020-01-08;15;143
1;0;2020-01-08;16;267
1;0;2020-01-08;17;484
1;0;2020-01-08;18;248
1;0;2020-01-08;19;60
1;0;2020-01-08;20;110
1;0;2020-01-08;21;131
1;0;2020-01-08;22;149
1;0;2020-01-08;23;63
1;0;2020-01-09;0;21
1;0;2020-01-09;6;28
1;0;2020-01-09;7;374
1;0;2020-01-09;8;396
1;0;2020-01-09;9;325
1;0;2020-01-09;10;406
1;0;2020-01-09;11;318
1;0;2020-01-09;12;501
1;0;2020-01-09;13;438
1;0;2020-01-09;14;384
1;0;2020-01-09;15;330
1;0;2020-01-09;16;342
1;0;2020-01-09;17;343
1;0;2020-01-09;18;187
1;0;2020-01-09;19;55
1;0;2020-01-09;20;114
1;0;2020-01-09;21;110
1;0;2020-01-09;22;151
1;0;2020-01-09;23;69
1;0;2020-01-10;0;15
1;0;2020-01-10;6;24
1;0;2020-01-10;7;427
1;0;2020-01-10;8;463
1;0;2020-01-10;9;368
1;0;2020-01-10;10;520
1;0;2020-01-10;11;767
1;0;2020-01-10;12;782
1;0;2020-01-10;13;565
1;0;2020-01-10;14;414
1;0;2020-01-10;15;421
1;0;2020-01-10;16;523
1;0;2020-01-10;17;704
1;0;2020-01-10;18;369
1;0;2020-01-10;19;156
1;0;2020-01-10;20;182
1;0;2020-01-10;21;172
1;0;2020-01-10;22;137
1;0;2020-01-10;23;63
1;0;2020-01-11;0;29
1;0;2020-01-11;6;17
1;0;2020-01-11;7;97
1;0;2020-01-11;8;155
1;0;2020-01-11;9;176
1;0;2020-01-11;10;147
1;0;2020-01-11;11;348
1;0;2020-01-11;12;349
1;0;2020-01-11;13;252
1;0;2020-01-11;14;125
1;0;2020-01-11;15;218
1;0;2020-01-11;16;252
1;0;2020-01-11;17;294
1;0;2020-01-11;18;309
1;0;2020-01-11;19;87
1;0;2020-01-11;20;248
1;0;2020-01-11;21;124
1;0;2020-01-11;22;106
1;0;2020-01-11;23;81
1;0;2020-01-12;0;13
1;0;2020-01-12;7;75
1;0;2020-01-12;8;193
1;0;2020-01-12;9;280
1;0;2020-01-12;10;209
1;0;2020-01-12;11;252
1;0;2020-01-12;12;437
1;0;2020-01-12;13;359
1;0;2020-01-12;14;262
1;0;2020-01-12;15;186
1;0;2020-01-12;16;237
1;0;2020-01-12;17;339
1;0;2020-01-12;18;217
1;0;2020-01-12;19;167
1;0;2020-01-12;20;150
1;0;2020-01-12;21;146
1;0;2020-01-12;22;47
1;0;2020-01-12;23;35
1;0;2020-01-13;0;3
1;0;2020-01-13;6;35
1;0;2020-01-13;7;310
1;0;2020-01-13;8;479
1;0;2020-01-13;9;450
1;0;2020-01-13;10;605
1;0;2020-01-13;11;719
1;0;2020-01-13;12;678
1;0;2020-01-13;13;668
1;0;2020-01-13;14;603
1;0;2020-01-13;15;535
1;0;2020-01-13;16;530
1;0;2020-01-13;17;275
1;0;2020-01-13;18;219
1;0;2020-01-13;19;41
1;0;2020-01-13;20;120
1;0;2020-01-13;21;79
1;0;2020-01-13;22;123
1;0;2020-01-13;23;48
1;0;2020-01-14;0;15
1;0;2020-01-14;6;32
1;0;2020-01-14;7;296
1;0;2020-01-14;8;304
1;0;2020-01-14;9;333
1;0;2020-01-14;10;460
1;0;2020-01-14;11;567
1;0;2020-01-14;12;836
1;0;2020-01-14;13;657
1;0;2020-01-14;14;509
1;0;2020-01-14;15;551
1;0;2020-01-14;16;391
1;0;2020-01-14;17;360
1;0;2020-01-14;18;223
1;0;2020-01-14;19;118
1;0;2020-01-14;20;142
1;0;2020-01-14;21;132
1;0;2020-01-14;22;96
1;0;2020-01-14;23;69
1;0;2020-01-15;0;21
1;0;2020-01-15;6;35
1;0;2020-01-15;7;242
1;0;2020-01-15;8;474
1;0;2020-01-15;9;342
1;0;2020-01-15;10;362
1;0;2020-01-15;11;395
1;0;2020-01-15;12;490
1;0;2020-01-15;13;485
1;0;2020-01-15;14;308
1;0;2020-01-15;15;305
1;0;2020-01-15;16;347
1;0;2020-01-15;17;382
1;0;2020-01-15;18;153
1;0;2020-01-15;19;39
1;0;2020-01-15;20;187
1;0;2020-01-15;21;89
1;0;2020-01-15;22;120
1;0;2020-01-15;23;40
1;0;2020-01-16;0;20
1;0;2020-01-16;6;29
1;0;2020-01-16;7;170
1;0;2020-01-16;8;316
1;0;2020-01-16;9;317
1;0;2020-01-16;10;345
1;0;2020-01-16;11;399
1;0;2020-01-16;12;552
1;0;2020-01-16;13;480
1;0;2020-01-16;14;416
1;0;2020-01-16;15;311
1;0;2020-01-16;16;428
1;0;2020-01-16;17;320
1;0;2020-01-16;18;156
1;0;2020-01-16;19;114
1;0;2020-01-16;20;137
1;0;2020-01-16;21;104
1;0;2020-01-16;22;92
1;0;2020-01-16;23;33
1;0;2020-01-17;0;10
1;0;2020-01-17;6;5
1;0;2020-01-17;7;136
1;0;2020-01-17;8;227
1;0;2020-01-17;9;225
1;0;2020-01-17;10;323
1;0;2020-01-17;11;408
1;0;2020-01-17;12;354
1;0;2020-01-17;13;269
1;0;2020-01-17;14;321
1;0;2020-01-17;15;418
1;0;2020-01-17;16;205
1;0;2020-01-17;17;338
1;0;2020-01-17;18;189
1;0;2020-01-17;19;130
1;0;2020-01-17;20;165
1;0;2020-01-17;21;69
1;0;2020-01-17;22;122
1;0;2020-01-17;23;38
1;0;2020-01-18;0;14
1;0;2020-01-18;6;14
1;0;2020-01-18;7;86
1;0;2020-01-18;8;98
1;0;2020-01-18;9;94
1;0;2020-01-18;10;152
1;0;2020-01-18;11;199
1;0;2020-01-18;12;185
1;0;2020-01-18;13;214
1;0;2020-01-18;14;112
1;0;2020-01-18;15;80
1;0;2020-01-18;16;114
1;0;2020-01-18;17;221
1;0;2020-01-18;18;85
1;0;2020-01-18;19;102
1;0;2020-01-18;20;52
1;0;2020-01-18;21;45
1;0;2020-01-18;22;99
1;0;2020-01-18;23;27
1;0;2020-01-19;0;17
1;0;2020-01-19;7;54
1;0;2020-01-19;8;150
1;0;2020-01-19;9;114
1;0;2020-01-19;10;187
1;0;2020-01-19;11;226
1;0;2020-01-19;12;249
1;0;2020-01-19;13;200
1;0;2020-01-19;14;210
1;0;2020-01-19;15;163
1;0;2020-01-19;16;281
1;0;2020-01-19;17;245
1;0;2020-01-19;18;154
1;0;2020-01-19;19;148
1;0;2020-01-19;20;112
1;0;2020-01-19;21;108
1;0;2020-01-19;22;40
1;0;2020-01-19;23;18
1;0;2020-01-20;0;1
1;0;2020-01-20;6;29
1;0;2020-01-20;7;111
1;0;2020-01-20;8;176
1;0;2020-01-20;9;148
1;0;2020-01-20;10;96
1;0;2020-01-20;11;173
1;0;2020-01-20;12;177
1;0;2020-01-20;13;122
1;0;2020-01-20;14;99
1;0;2020-01-20;15;124
1;0;2020-01-20;16;312
1;0;2020-01-20;17;276
1;0;2020-01-20;18;217
1;0;2020-01-20;19;126
1;0;2020-01-20;20;114
1;0;2020-01-20;21;64
1;0;2020-01-20;22;72
1;0;2020-01-20;23;25
1;0;2020-01-21;0;10
1;0;2020-01-21;6;48
1;0;2020-01-21;7;34
1;0;2020-01-21;8;147
1;0;2020-01-21;9;113
1;0;2020-01-21;10;142
1;0;2020-01-21;11;128
1;0;2020-01-21;12;267
1;0;2020-01-21;13;125
1;0;2020-01-21;14;169
1;0;2020-01-21;15;196
1;0;2020-01-21;16;220
1;0;2020-01-21;17;248
1;0;2020-01-21;18;156
1;0;2020-01-21;19;135
1;0;2020-01-21;20;43
1;0;2020-01-21;21;69
1;0;2020-01-21;22;71
1;0;2020-01-21;23;51
1;0;2020-01-22;0;9
1;0;2020-01-22;6;30
1;0;2020-01-22;7;30
1;0;2020-01-22;8;92
1;0;2020-01-22;9;78
1;0;2020-01-22;10;108
1;0;2020-01-22;11;181
1;0;2020-01-22;12;245
1;0;2020-01-22;13;99
1;0;2020-01-22;14;214
1;0;2020-01-22;15;227
1;0;2020-01-22;16;233
1;0;2020-01-22;17;262
1;0;2020-01-22;18;229
1;0;2020-01-22;19;176
1;0;2020-01-22;20;42
1;0;2020-01-22;21;58
1;0;2020-01-22;22;66
1;0;2020-01-22;23;43
1;0;2020-01-23;0;5
1;0;2020-01-23;6;22
1;0;2020-01-23;7;34
1;0;2020-01-23;8;149
1;0;2020-01-23;9;46
1;0;2020-01-23;10;100
1;0;2020-01-23;11;172
1;0;2020-01-23;12;201
1;0;2020-01-23;13;95
1;0;2020-01-23;14;106
1;0;2020-01-23;15;189
1;0;2020-01-23;16;211
1;0;2020-01-23;17;179
1;0;2020-01-23;18;164
1;0;2020-01-23;19;151
1;0;2020-01-23;20;23
1;0;2020-01-23;21;89
1;0;2020-01-23;22;73
1;0;2020-01-23;23;37
1;0;2020-01-24;0;8
1;0;2020-01-24;6;13
1;0;2020-01-24;7;34
1;0;2020-01-24;8;92
1;0;2020-01-24;9;61
1;0;2020-01-24;10;118
1;0;2020-01-24;11;127
1;0;2020-01-24;12;236
1;0;2020-01-24;13;68
1;0;2020-01-24;14;255
1;0;2020-01-24;15;196
1;0;2020-01-24;16;217
1;0;2020-01-24;17;212
1;0;2020-01-24;18;200
1;0;2020-01-24;19;158
1;0;2020-01-24;20;63
1;0;2020-01-24;21;104
1;0;2020-01-24;22;80
1;0;2020-01-24;23;41
1;0;2020-01-25;0;12
1;0;2020-01-25;6;7
1;0;2020-01-25;7;43
1;0;2020-01-25;8;102
1;0;2020-01-25;9;31
1;0;2020-01-25;10;60
1;0;2020-01-25;11;111
1;0;2020-01-25;12;107
1;0;2020-01-25;13;84
1;0;2020-01-25;14;154
1;0;2020-01-25;15;159
1;0;2020-01-25;16;179
1;0;2020-01-25;17;186
1;0;2020-01-25;18;102
1;0;2020-01-25;19;134
1;0;2020-01-25;20;101
1;0;2020-01-25;21;105
1;0;2020-01-25;22;120
1;0;2020-01-25;23;22
1;0;2020-01-26;0;11
1;0;2020-01-26;7;81
1;0;2020-01-26;8;87
1;0;2020-01-26;9;85
1;0;2020-01-26;10;58
1;0;2020-01-26;11;136
1;0;2020-01-26;12;142
1;0;2020-01-26;13;196
1;0;2020-01-26;14;176
1;0;2020-01-26;15;179
1;0;2020-01-26;16;175
1;0;2020-01-26;17;204
1;0;2020-01-26;18;147
1;0;2020-01-26;19;118
1;0;2020-01-26;20;99
1;0;2020-01-26;21;108
1;0;2020-01-26;22;34
1;0;2020-01-26;23;41
1;0;2020-01-27;6;23
1;0;2020-01-27;7;152
1;0;2020-01-27;8;278
1;0;2020-01-27;9;206
1;0;2020-01-27;10;285
1;0;2020-01-27;11;365
1;0;2020-01-27;12;458
1;0;2020-01-27;13;391
1;0;2020-01-27;14;439
1;0;2020-01-27;15;285
1;0;2020-01-27;16;458
1;0;2020-01-27;17;340
1;0;2020-01-27;18;262
1;0;2020-01-27;19;166
1;0;2020-01-27;20;89
1;0;2020-01-27;21;141
1;0;2020-01-27;22;91
1;0;2020-01-27;23;32
1;0;2020-01-28;0;8
1;0;2020-01-28;6;14
1;0;2020-01-28;7;113
1;0;2020-01-28;8;284
1;0;2020-01-28;9;285
1;0;2020-01-28;10;300
1;0;2020-01-28;11;372
