"ANA_HAT_NO";"ALT_HAT_NO";"ANA_HAT_ADI";"ALT_HAT_ADI";"DURAK_SAYISI";"UZUNLUK"
"40";"0";"MARSAN BÜSAN AYKENT";"MARSAN BÜSAN AYKENT";"104";"57,927"
"41";"0";"KARAKAYIÞ";"KARAKAYIÞ";"76";"27,252"
"42";"0";"FEVZÝ ÇAKMAK";"FEVZÝ ÇAKMAK";"85";"46,177"
"43";"0";"PINARBAÞI";"PINARBAÞI";"133";"64,884"
"43";"1";"PINARBAÞI";"PINARBAÞI SARICALAR ÇALTI";"144";"95,518"
"44";"0";"2. ORGANÝZE SAN";"AKSARAY YOLU 2. ORGANÝZE KAYACIK";"106";"49,567"
"44";"2";"2. ORGANÝZE SAN";"AKSARAY YOLU 2. ORGANÝZE KAYACIK BOSNA";"129";"60,573"
"44";"3";"2. ORGANÝZE SAN";"BOSNA KAYACIK 2. ORGANÝZE";"129";"62,787"
"44";"4";"2. ORGANÝZE SAN";"ANKARA YOLU KAYACIK 2. 3. 4. ORGANÝZE ";"138";"54,795"
"44";"6";"2. ORGANÝZE SAN";"AKSARAY YOLU 2. ORGANÝZE KAYACIK BAHÇE ANKARA YOLU";"110";"51,592"
"44";"7";"2. ORGANÝZE SAN";"AKSARAY YOLU 2. ORGANÝZE KAYACIK TÖMEK ANKARA YOLU";"130";"66,47"
"44";"8";"2. ORGANÝZE SAN";"ANKARA YOLU KAYACIK TÖMEK 2. ORGANÝZE AKSARAY YOLU";"130";"67,81"
"45";"0";"FATÝH IÞIKLAR ÖZALKENT";"FATÝH IÞIKLAR ÖZALKENT ";"90";"23,138"
"46";"0";"YAZIR 2.3.4. ORGANÝZE";"YAZIR 2. 3. 4. ORGANÝZE";"93";"48,167"
"46";"1";"YAZIR 2.3.4. ORGANÝZE";"2. 3. 4.  ORGANÝZE YAZIR";"89";"46,075"
"47";"0";"S. EYYUBÝ ELMALIK";"S. EYYUBÝ ELMALIK";"95";"57,786"
"48";"0";"S. EYYUBÝ HADÝMÝ CAD";"S. EYYUBÝ HADÝMÝ CAD";"118";"50,593"
"50";"0";"SAKYATAN BAKIRTOLU ÞATIR";"SAKYATAN BAKIRTOLU ÞATIR";"124";"0"
